"1 Click Order","1 Click Order"
"Admin Email Template","Admin Email Template"
"By default uses General Store Email [General=>Store Email Addresses=>General Contact]","By default uses General Store Email [General=>Store Email Addresses=>General Contact]"
"Controls whether create Magento Order if possible.","Controls whether create Magento Order if possible."
"Create Magento Order","Create Magento Order"
"If select more, than one option, on frontend will be shown select-box with selected phone codes","If select more, than one option, on frontend will be shown select-box with selected phone codes"
"One Click Order General Settings","One Click Order General Settings"
"Send Email with order info","Send Email with order info"
"Code","Code"
"Manager will call you, knows all details and will help place your order.","Manager will call you, knows all details and will help place your order."
"Place Order","Place Order"
"Comment:","Comment:"
"Add comment","Add comment"
"phone number","phone number"
"Submit Order...","Submit Order..."
"Your order # is: %s. Manager will call you to %s","Your order # is: %s. Manager will call you to %s"
"Phone","Phone"
"One Click Order","One Click Order"
"OneClick Order Admin Email template","OneClick Order Admin Email template"
"View Magento Order","View Magento Order"
"Email Address","Email Address"
"Order Now","Order Now"
"Change standard One Page Checkout","Change standard One Page Checkout"
"If yes, than standard One Page Checkout will be replaced by One Click Order","If yes, than standard One Page Checkout will be replaced by One Click Order"
"One Click Order Checkout Settings","One Click Order Checkout Settings"
"Total items","Total items"
